age,income_bracket,financial_goals,age_bracket,debt_level,savings_rate,investment_experience,financial_stress_level,programId,title,PCA1,PCA2,combined_features
55.0,Low,"Debt Freedom, Investment Growth",Older,High,Unknown,Intermediate,Medium,42,Dollar Mastery Select,-0.05,0.02,"Low, Debt Freedom, Investment Growth, Older, High, Unknown, Intermediate, Medium -0.05 0.02"
,Medium,"Emergency Fund, Retirement",Unknown,Medium,Low,Beginner,Medium,30,Prosper Foundation Prime,-0.4,-0.5,"Medium, Emergency Fund, Retirement, Unknown, Medium, Low, Beginner, Medium -0.4 -0.5"
43.0,Medium,Retirement,Middle-aged,Medium,High,Beginner,Low,43,Budget Builder Gold,0.1,0.04,"Medium, Retirement, Middle-aged, Medium, High, Beginner, Low 0.1 0.04"
,Low,"Investment Growth, Emergency Fund",Unknown,Low,Unknown,Beginner,Low,84,Savvy Success,0.38,-0.12,"Low, Investment Growth, Emergency Fund, Unknown, Low, Unknown, Beginner, Low 0.38 -0.12"
25.0,Low,"Debt Freedom, Emergency Fund",Young,Unknown,Unknown,Unknown,Unknown,83,Academy Total,0.32,0.32,"Low, Debt Freedom, Emergency Fund, Young, Unknown, Unknown, Unknown, Unknown 0.32 0.32"
28.0,Medium,"Debt Freedom, Retirement",Young,Unknown,Unknown,Unknown,Unknown,52,Builder360,-0.19,0.32,"Medium, Debt Freedom, Retirement, Young, Unknown, Unknown, Unknown, Unknown -0.19 0.32"
34.0,Medium,Retirement,Middle-aged,Unknown,Unknown,Unknown,Unknown,47,Success,-0.07,0.15,"Medium, Retirement, Middle-aged, Unknown, Unknown, Unknown, Unknown -0.07 0.15"
34.0,Unknown,Emergency Fund,Middle-aged,Medium,High,Intermediate,High,40,Economic Tracker,-0.13,0.05,"Unknown, Emergency Fund, Middle-aged, Medium, High, Intermediate, High -0.13 0.05"
32.0,Medium,"Emergency Fund, Debt Freedom",Young,High,High,Intermediate,Low,74,Money Foundation Unlimited,0.23,0.14,"Medium, Emergency Fund, Debt Freedom, Young, High, High, Intermediate, Low 0.23 0.14"
25.0,Low,Investment Growth,Young,Medium,Low,Beginner,Medium,52,Builder360,-0.19,0.32,"Low, Investment Growth, Young, Medium, Low, Beginner, Medium -0.19 0.32"
25.0,Low,Investment Growth,Young,Medium,Low,Beginner,Medium,38,Strategy,0.01,-0.02,"Low, Investment Growth, Young, Medium, Low, Beginner, Medium 0.01 -0.02"
49.0,Low,Debt Freedom,Older,Medium,Low,Unknown,High,21,Economic Blueprint Supreme,-0.23,0.04,"Low, Debt Freedom, Older, Medium, Low, Unknown, High -0.23 0.04"
28.0,Medium,"Investment Growth, Debt Freedom",Young,Unknown,High,Intermediate,Low,69,Advantage Pro,0.18,-0.14,"Medium, Investment Growth, Debt Freedom, Young, Unknown, High, Intermediate, Low 0.18 -0.14"
52.0,High,Retirement,Older,High,Low,Intermediate,High,52,Builder360,-0.19,0.32,"High, Retirement, Older, High, Low, Intermediate, High -0.19 0.32"
29.0,High,"Retirement, Emergency Fund",Young,Medium,Unknown,Intermediate,Medium,45,Capital System,-0.14,-0.15,"High, Retirement, Emergency Fund, Young, Medium, Unknown, Intermediate, Medium -0.14 -0.15"
29.0,High,"Retirement, Emergency Fund",Young,Medium,Unknown,Intermediate,Medium,68,Economic Academy Advanced,0.3,0.06,"High, Retirement, Emergency Fund, Young, Medium, Unknown, Intermediate, Medium 0.3 0.06"
32.0,Unknown,"Emergency Fund, Debt Freedom",Young,Medium,High,Intermediate,Medium,38,Strategy,0.01,-0.02,"Unknown, Emergency Fund, Debt Freedom, Young, Medium, High, Intermediate, Medium 0.01 -0.02"
32.0,Low,Debt Freedom,Young,Medium,Low,Beginner,Medium,53,Thrive Planner Total,0.11,0.14,"Low, Debt Freedom, Young, Medium, Low, Beginner, Medium 0.11 0.14"
39.0,Low,Retirement,Middle-aged,Medium,High,Intermediate,Low,98,Money Blueprint Unlimited,0.48,-0.03,"Low, Retirement, Middle-aged, Medium, High, Intermediate, Low 0.48 -0.03"
50.0,Medium,Retirement,Older,High,High,Beginner,High,22,Journey,-0.21,0.22,"Medium, Retirement, Older, High, High, Beginner, High -0.21 0.22"
32.0,Medium,"Retirement, Investment Growth",Young,Low,High,Unknown,Medium,45,Capital System,-0.14,-0.15,"Medium, Retirement, Investment Growth, Young, Low, High, Unknown, Medium -0.14 -0.15"
32.0,Medium,"Retirement, Investment Growth",Young,Low,High,Unknown,Medium,8,Future Blueprint Advanced,-0.49,0.09,"Medium, Retirement, Investment Growth, Young, Low, High, Unknown, Medium -0.49 0.09"
35.0,High,Retirement,Middle-aged,High,High,Beginner,Low,80,Advantage,0.02,-0.55,"High, Retirement, Middle-aged, High, High, Beginner, Low 0.02 -0.55"
40.0,Medium,"Retirement, Investment Growth",Middle-aged,Low,Unknown,Intermediate,High,64,Savvy Vision,0.21,0.24,"Medium, Retirement, Investment Growth, Middle-aged, Low, Unknown, Intermediate, High 0.21 0.24"
34.0,High,Emergency Fund,Middle-aged,Unknown,Unknown,Unknown,Unknown,39,Success Complete,-0.1,0.36,"High, Emergency Fund, Middle-aged, Unknown, Unknown, Unknown, Unknown -0.1 0.36"
36.0,Unknown,Emergency Fund,Middle-aged,Medium,Low,Unknown,Unknown,88,Secure Success Total,0.4,-0.09,"Unknown, Emergency Fund, Middle-aged, Medium, Low, Unknown, Unknown 0.4 -0.09"
41.0,High,"Emergency Fund, Debt Freedom",Middle-aged,Medium,High,Unknown,Medium,64,Savvy Vision,0.21,0.24,"High, Emergency Fund, Debt Freedom, Middle-aged, Medium, High, Unknown, Medium 0.21 0.24"
48.0,Unknown,"Emergency Fund, Debt Freedom",Middle-aged,Low,High,Intermediate,High,73,Dollar Navigator Gold,0.17,0.19,"Unknown, Emergency Fund, Debt Freedom, Middle-aged, Low, High, Intermediate, High 0.17 0.19"
35.0,High,"Investment Growth, Debt Freedom",Middle-aged,High,High,Intermediate,Unknown,98,Money Blueprint Unlimited,0.48,-0.03,"High, Investment Growth, Debt Freedom, Middle-aged, High, High, Intermediate, Unknown 0.48 -0.03"
51.0,Low,"Investment Growth, Retirement",Older,High,High,Beginner,Medium,43,Budget Builder Gold,0.1,0.04,"Low, Investment Growth, Retirement, Older, High, High, Beginner, Medium 0.1 0.04"
53.0,Medium,"Investment Growth, Emergency Fund",Older,High,Medium,Intermediate,Unknown,23,Fortune Success Pro,-0.22,-0.08,"Medium, Investment Growth, Emergency Fund, Older, High, Medium, Intermediate, Unknown -0.22 -0.08"
35.0,Medium,Debt Freedom,Middle-aged,Unknown,Unknown,Unknown,Low,35,Equity Advantage,-0.14,-0.01,"Medium, Debt Freedom, Middle-aged, Unknown, Unknown, Unknown, Low -0.14 -0.01"
39.0,Medium,Debt Freedom,Middle-aged,High,High,Intermediate,Medium,79,Secure Navigator,0.02,-0.44,"Medium, Debt Freedom, Middle-aged, High, High, Intermediate, Medium 0.02 -0.44"
39.0,Medium,Debt Freedom,Middle-aged,High,High,Intermediate,Medium,72,Secure Advantage,0.3,0.2,"Medium, Debt Freedom, Middle-aged, High, High, Intermediate, Medium 0.3 0.2"
35.0,Medium,Investment Growth,Middle-aged,Low,Low,Intermediate,Low,38,Strategy,0.01,-0.02,"Medium, Investment Growth, Middle-aged, Low, Low, Intermediate, Low 0.01 -0.02"
28.0,High,Emergency Fund,Young,Low,High,Unknown,Medium,32,Financial Advantage,-0.12,-0.04,"High, Emergency Fund, Young, Low, High, Unknown, Medium -0.12 -0.04"
46.0,High,Emergency Fund,Middle-aged,High,Low,Intermediate,Low,35,Equity Advantage,-0.14,-0.01,"High, Emergency Fund, Middle-aged, High, Low, Intermediate, Low -0.14 -0.01"
46.0,High,Emergency Fund,Middle-aged,High,Low,Intermediate,Low,16,Freedom Blueprint360,-0.37,0.17,"High, Emergency Fund, Middle-aged, High, Low, Intermediate, Low -0.37 0.17"
47.0,Low,Emergency Fund,Middle-aged,High,Low,Beginner,High,34,Fortune Navigator Total,-0.12,0.29,"Low, Emergency Fund, Middle-aged, High, Low, Beginner, High -0.12 0.29"
47.0,Low,Emergency Fund,Middle-aged,High,Low,Beginner,High,62,Thrive Academy Essential,0.21,-0.12,"Low, Emergency Fund, Middle-aged, High, Low, Beginner, High 0.21 -0.12"
32.0,High,Unknown,Young,Medium,High,Intermediate,Medium,31,Smart Navigator Gold,-0.17,0.11,"High, Unknown, Young, Medium, High, Intermediate, Medium -0.17 0.11"
44.0,High,"Debt Freedom, Investment Growth",Middle-aged,High,Medium,Intermediate,High,17,Insights,-0.19,0.07,"High, Debt Freedom, Investment Growth, Middle-aged, High, Medium, Intermediate, High -0.19 0.07"
44.0,High,"Debt Freedom, Investment Growth",Middle-aged,High,Medium,Intermediate,High,54,Thrive Solutions,0.11,0.05,"High, Debt Freedom, Investment Growth, Middle-aged, High, Medium, Intermediate, High 0.11 0.05"
26.0,Low,Unknown,Young,High,High,Beginner,High,36,Asset Success Premium,-0.23,-0.36,"Low, Unknown, Young, High, High, Beginner, High -0.23 -0.36"
31.0,Low,"Emergency Fund, Investment Growth",Young,Medium,Low,Beginner,Low,66,Dollar Academy Ultra,0.06,-0.36,"Low, Emergency Fund, Investment Growth, Young, Medium, Low, Beginner, Low 0.06 -0.36"
34.0,High,"Retirement, Emergency Fund",Middle-aged,Medium,Low,Beginner,Medium,10,Financial Success,-0.31,-0.05,"High, Retirement, Emergency Fund, Middle-aged, Medium, Low, Beginner, Medium -0.31 -0.05"
25.0,Unknown,"Investment Growth, Retirement",Young,Unknown,Low,Beginner,High,93,Financial Builder,0.47,0.18,"Unknown, Investment Growth, Retirement, Young, Unknown, Low, Beginner, High 0.47 0.18"
43.0,Medium,Unknown,Middle-aged,Low,Unknown,Unknown,High,49,Wealth Navigator,0.1,0.18,"Medium, Unknown, Middle-aged, Low, Unknown, Unknown, High 0.1 0.18"
33.0,High,Unknown,Middle-aged,Medium,Unknown,Beginner,Low,72,Secure Advantage,0.3,0.2,"High, Unknown, Middle-aged, Medium, Unknown, Beginner, Low 0.3 0.2"
54.0,High,Investment Growth,Older,Medium,Low,Intermediate,High,58,Freedom Advantage,-0.02,0.44,"High, Investment Growth, Older, Medium, Low, Intermediate, High -0.02 0.44"
40.0,Low,Retirement,Middle-aged,Low,High,Beginner,Unknown,65,Foundation Essential,0.16,-0.14,"Low, Retirement, Middle-aged, Low, High, Beginner, Unknown 0.16 -0.14"
33.0,Unknown,Investment Growth,Middle-aged,Unknown,Medium,Unknown,Medium,77,Academy,0.26,0.11,"Unknown, Investment Growth, Middle-aged, Unknown, Medium, Unknown, Medium 0.26 0.11"
33.0,Unknown,Investment Growth,Middle-aged,Unknown,Medium,Unknown,Medium,42,Dollar Mastery Select,-0.05,0.02,"Unknown, Investment Growth, Middle-aged, Unknown, Medium, Unknown, Medium -0.05 0.02"
30.0,High,Investment Growth,Young,Unknown,Unknown,Unknown,Unknown,91,Future Blueprint Unlimited,0.38,0.11,"High, Investment Growth, Young, Unknown, Unknown, Unknown, Unknown 0.38 0.11"
30.0,High,Investment Growth,Young,Unknown,Unknown,Unknown,Unknown,94,Equity Mastery Total,0.41,-0.82,"High, Investment Growth, Young, Unknown, Unknown, Unknown, Unknown 0.41 -0.82"
28.0,Unknown,Debt Freedom,Young,Low,Medium,Beginner,Unknown,60,Fiscal Roadmap Essential,0.1,0.04,"Unknown, Debt Freedom, Young, Low, Medium, Beginner, Unknown 0.1 0.04"
52.0,Medium,Investment Growth,Older,Unknown,Medium,Intermediate,Medium,76,Smart Vision Premium,0.35,-0.06,"Medium, Investment Growth, Older, Unknown, Medium, Intermediate, Medium 0.35 -0.06"
48.0,High,Debt Freedom,Middle-aged,Low,Medium,Intermediate,Medium,2,Smart Strategy Deluxe,-0.85,-0.18,"High, Debt Freedom, Middle-aged, Low, Medium, Intermediate, Medium -0.85 -0.18"
48.0,High,Debt Freedom,Middle-aged,Low,Medium,Intermediate,Medium,66,Dollar Academy Ultra,0.06,-0.36,"High, Debt Freedom, Middle-aged, Low, Medium, Intermediate, Medium 0.06 -0.36"
40.0,Medium,"Emergency Fund, Investment Growth",Middle-aged,Unknown,Unknown,Unknown,Unknown,19,Smart Planner,-0.39,0.54,"Medium, Emergency Fund, Investment Growth, Middle-aged, Unknown, Unknown, Unknown, Unknown -0.39 0.54"
40.0,Medium,"Emergency Fund, Investment Growth",Middle-aged,Unknown,Unknown,Unknown,Unknown,46,Fortune Planner Unlimited,-0.13,0.48,"Medium, Emergency Fund, Investment Growth, Middle-aged, Unknown, Unknown, Unknown, Unknown -0.13 0.48"
39.0,Medium,Retirement,Middle-aged,Low,Medium,Unknown,Low,29,Economic Planner Unlimited,-0.2,0.11,"Medium, Retirement, Middle-aged, Low, Medium, Unknown, Low -0.2 0.11"
47.0,Low,"Debt Freedom, Retirement",Middle-aged,High,Low,Unknown,High,24,Money Mastery Plus,-0.21,-0.01,"Low, Debt Freedom, Retirement, Middle-aged, High, Low, Unknown, High -0.21 -0.01"
40.0,High,Debt Freedom,Middle-aged,High,High,Beginner,High,29,Economic Planner Unlimited,-0.2,0.11,"High, Debt Freedom, Middle-aged, High, High, Beginner, High -0.2 0.11"
40.0,High,Debt Freedom,Middle-aged,High,High,Beginner,High,27,Wealth Mastery Expert,-0.3,-0.59,"High, Debt Freedom, Middle-aged, High, High, Beginner, High -0.3 -0.59"
51.0,Medium,"Debt Freedom, Emergency Fund",Older,Low,Low,Beginner,Medium,49,Wealth Navigator,0.1,0.18,"Medium, Debt Freedom, Emergency Fund, Older, Low, Low, Beginner, Medium 0.1 0.18"
54.0,Medium,Debt Freedom,Older,High,Medium,Intermediate,Low,87,Foundation,0.34,-0.18,"Medium, Debt Freedom, Older, High, Medium, Intermediate, Low 0.34 -0.18"
31.0,Low,Unknown,Young,High,Medium,Intermediate,Medium,45,Capital System,-0.14,-0.15,"Low, Unknown, Young, High, Medium, Intermediate, Medium -0.14 -0.15"
33.0,High,"Emergency Fund, Retirement",Middle-aged,High,Low,Intermediate,Unknown,50,Academy Essential,-0.04,0.03,"High, Emergency Fund, Retirement, Middle-aged, High, Low, Intermediate, Unknown -0.04 0.03"
47.0,High,Investment Growth,Middle-aged,Medium,High,Intermediate,Unknown,50,Academy Essential,-0.04,0.03,"High, Investment Growth, Middle-aged, Medium, High, Intermediate, Unknown -0.04 0.03"
38.0,High,"Debt Freedom, Emergency Fund",Middle-aged,Low,Medium,Beginner,Low,89,Savvy Builder Essential,0.59,0.07,"High, Debt Freedom, Emergency Fund, Middle-aged, Low, Medium, Beginner, Low 0.59 0.07"
32.0,Low,Retirement,Young,Unknown,Unknown,Unknown,Unknown,98,Money Blueprint Unlimited,0.48,-0.03,"Low, Retirement, Young, Unknown, Unknown, Unknown, Unknown 0.48 -0.03"
27.0,High,Unknown,Young,Unknown,Unknown,Unknown,Unknown,49,Wealth Navigator,0.1,0.18,"High, Unknown, Young, Unknown, Unknown, Unknown, Unknown 0.1 0.18"
31.0,High,Investment Growth,Young,Medium,Medium,Intermediate,Medium,37,Strategy Supreme,-0.12,0.21,"High, Investment Growth, Young, Medium, Medium, Intermediate, Medium -0.12 0.21"
33.0,Medium,"Retirement, Debt Freedom",Middle-aged,High,Low,Beginner,Low,55,Fiscal System Expert,0.1,0.23,"Medium, Retirement, Debt Freedom, Middle-aged, High, Low, Beginner, Low 0.1 0.23"
33.0,Medium,"Retirement, Debt Freedom",Middle-aged,High,Low,Beginner,Low,5,Vision Plus,-0.61,-0.52,"Medium, Retirement, Debt Freedom, Middle-aged, High, Low, Beginner, Low -0.61 -0.52"
,High,Emergency Fund,Unknown,Medium,Medium,Beginner,Low,6,Capital Vision,-0.42,0.34,"High, Emergency Fund, Unknown, Medium, Medium, Beginner, Low -0.42 0.34"
,High,Emergency Fund,Unknown,Medium,Medium,Beginner,Low,95,Fortune Planner,0.48,-0.15,"High, Emergency Fund, Unknown, Medium, Medium, Beginner, Low 0.48 -0.15"
48.0,Low,Emergency Fund,Middle-aged,Unknown,High,Intermediate,Unknown,14,Cash Guide,-0.26,0.14,"Low, Emergency Fund, Middle-aged, Unknown, High, Intermediate, Unknown -0.26 0.14"
51.0,Medium,Retirement,Older,Medium,Low,Intermediate,High,57,Secure Blueprint,0.12,-0.62,"Medium, Retirement, Older, Medium, Low, Intermediate, High 0.12 -0.62"
52.0,Unknown,"Retirement, Debt Freedom",Older,Low,High,Beginner,Medium,64,Savvy Vision,0.21,0.24,"Unknown, Retirement, Debt Freedom, Older, Low, High, Beginner, Medium 0.21 0.24"
26.0,Low,"Retirement, Investment Growth",Young,Medium,High,Beginner,Medium,50,Academy Essential,-0.04,0.03,"Low, Retirement, Investment Growth, Young, Medium, High, Beginner, Medium -0.04 0.03"
52.0,Medium,"Emergency Fund, Debt Freedom",Older,Medium,Low,Beginner,Low,93,Financial Builder,0.47,0.18,"Medium, Emergency Fund, Debt Freedom, Older, Medium, Low, Beginner, Low 0.47 0.18"
31.0,Low,"Emergency Fund, Investment Growth",Young,Low,High,Intermediate,Medium,100,Fortune Builder,0.5,-0.07,"Low, Emergency Fund, Investment Growth, Young, Low, High, Intermediate, Medium 0.5 -0.07"
27.0,High,Unknown,Young,Unknown,Medium,Beginner,High,96,Savvy Tracker,0.48,0.08,"High, Unknown, Young, Unknown, Medium, Beginner, High 0.48 0.08"
33.0,Low,Investment Growth,Middle-aged,Medium,Low,Intermediate,High,26,Journey Select,-0.17,0.22,"Low, Investment Growth, Middle-aged, Medium, Low, Intermediate, High -0.17 0.22"
33.0,Low,Investment Growth,Middle-aged,Medium,Low,Intermediate,High,48,Guide Expert,-0.05,0.11,"Low, Investment Growth, Middle-aged, Medium, Low, Intermediate, High -0.05 0.11"
30.0,High,Retirement,Young,Unknown,Unknown,Unknown,Unknown,13,Roadmap,-0.43,-0.31,"High, Retirement, Young, Unknown, Unknown, Unknown, Unknown -0.43 -0.31"
45.0,Low,Debt Freedom,Middle-aged,High,High,Intermediate,Medium,91,Future Blueprint Unlimited,0.38,0.11,"Low, Debt Freedom, Middle-aged, High, High, Intermediate, Medium 0.38 0.11"
28.0,High,Unknown,Young,Low,Low,Beginner,Medium,85,Asset Blueprint Master,0.41,-0.08,"High, Unknown, Young, Low, Low, Beginner, Medium 0.41 -0.08"
27.0,Medium,"Retirement, Investment Growth",Young,High,Medium,Beginner,High,5,Vision Plus,-0.61,-0.52,"Medium, Retirement, Investment Growth, Young, High, Medium, Beginner, High -0.61 -0.52"
53.0,Low,Debt Freedom,Older,Medium,High,Beginner,Medium,8,Future Blueprint Advanced,-0.49,0.09,"Low, Debt Freedom, Older, Medium, High, Beginner, Medium -0.49 0.09"
44.0,Medium,Investment Growth,Middle-aged,High,Medium,Beginner,Medium,10,Financial Success,-0.31,-0.05,"Medium, Investment Growth, Middle-aged, High, Medium, Beginner, Medium -0.31 -0.05"
35.0,Low,"Emergency Fund, Retirement",Middle-aged,Unknown,Unknown,Unknown,Unknown,30,Prosper Foundation Prime,-0.4,-0.5,"Low, Emergency Fund, Retirement, Middle-aged, Unknown, Unknown, Unknown, Unknown -0.4 -0.5"
35.0,Low,"Emergency Fund, Retirement",Middle-aged,Unknown,Unknown,Unknown,Unknown,10,Financial Success,-0.31,-0.05,"Low, Emergency Fund, Retirement, Middle-aged, Unknown, Unknown, Unknown, Unknown -0.31 -0.05"
,Low,"Retirement, Debt Freedom",Unknown,Unknown,Medium,Intermediate,Medium,83,Academy Total,0.32,0.32,"Low, Retirement, Debt Freedom, Unknown, Unknown, Medium, Intermediate, Medium 0.32 0.32"
52.0,Low,Investment Growth,Older,High,High,Beginner,Unknown,94,Equity Mastery Total,0.41,-0.82,"Low, Investment Growth, Older, High, High, Beginner, Unknown 0.41 -0.82"
26.0,Low,Retirement,Young,Medium,Low,Intermediate,Low,90,Economic Blueprint Platinum,0.4,0.19,"Low, Retirement, Young, Medium, Low, Intermediate, Low 0.4 0.19"
31.0,Medium,Debt Freedom,Young,Medium,High,Intermediate,Low,48,Guide Expert,-0.05,0.11,"Medium, Debt Freedom, Young, Medium, High, Intermediate, Low -0.05 0.11"
43.0,Unknown,Unknown,Middle-aged,Medium,Medium,Intermediate,Medium,28,Economic Academy Complete,-0.2,0.3,"Unknown, Unknown, Middle-aged, Medium, Medium, Intermediate, Medium -0.2 0.3"
50.0,Low,Emergency Fund,Older,Medium,Medium,Beginner,Medium,6,Capital Vision,-0.42,0.34,"Low, Emergency Fund, Older, Medium, Medium, Beginner, Medium -0.42 0.34"
50.0,Low,Emergency Fund,Older,Medium,Medium,Beginner,Medium,52,Builder360,-0.19,0.32,"Low, Emergency Fund, Older, Medium, Medium, Beginner, Medium -0.19 0.32"
36.0,Medium,"Retirement, Debt Freedom",Middle-aged,High,Low,Intermediate,Low,88,Secure Success Total,0.4,-0.09,"Medium, Retirement, Debt Freedom, Middle-aged, High, Low, Intermediate, Low 0.4 -0.09"
43.0,Low,"Emergency Fund, Retirement",Middle-aged,Medium,High,Beginner,High,51,Money Builder Deluxe,0.07,0.07,"Low, Emergency Fund, Retirement, Middle-aged, Medium, High, Beginner, High 0.07 0.07"
43.0,Low,"Emergency Fund, Retirement",Middle-aged,Medium,High,Beginner,High,48,Guide Expert,-0.05,0.11,"Low, Emergency Fund, Retirement, Middle-aged, Medium, High, Beginner, High -0.05 0.11"
53.0,High,Retirement,Older,High,Low,Intermediate,Low,65,Foundation Essential,0.16,-0.14,"High, Retirement, Older, High, Low, Intermediate, Low 0.16 -0.14"
,Medium,"Debt Freedom, Investment Growth",Unknown,Medium,High,Unknown,High,53,Thrive Planner Total,0.11,0.14,"Medium, Debt Freedom, Investment Growth, Unknown, Medium, High, Unknown, High 0.11 0.14"
36.0,High,"Debt Freedom, Investment Growth",Middle-aged,Low,Low,Intermediate,High,23,Fortune Success Pro,-0.22,-0.08,"High, Debt Freedom, Investment Growth, Middle-aged, Low, Low, Intermediate, High -0.22 -0.08"
54.0,Medium,"Debt Freedom, Retirement",Older,Medium,Medium,Unknown,Low,22,Journey,-0.21,0.22,"Medium, Debt Freedom, Retirement, Older, Medium, Medium, Unknown, Low -0.21 0.22"
35.0,High,Emergency Fund,Middle-aged,Unknown,Unknown,Unknown,Unknown,41,Wealth Solutions Ultra,-0.07,0.16,"High, Emergency Fund, Middle-aged, Unknown, Unknown, Unknown, Unknown -0.07 0.16"
55.0,Medium,"Debt Freedom, Emergency Fund",Older,High,Low,Intermediate,High,87,Foundation,0.34,-0.18,"Medium, Debt Freedom, Emergency Fund, Older, High, Low, Intermediate, High 0.34 -0.18"
55.0,Medium,"Debt Freedom, Emergency Fund",Older,High,Low,Intermediate,High,63,Budget Academy,0.1,0.11,"Medium, Debt Freedom, Emergency Fund, Older, High, Low, Intermediate, High 0.1 0.11"
55.0,Medium,"Debt Freedom, Emergency Fund",Older,High,Low,Intermediate,High,72,Secure Advantage,0.3,0.2,"Medium, Debt Freedom, Emergency Fund, Older, High, Low, Intermediate, High 0.3 0.2"
35.0,High,Investment Growth,Middle-aged,High,Medium,Unknown,Unknown,42,Dollar Mastery Select,-0.05,0.02,"High, Investment Growth, Middle-aged, High, Medium, Unknown, Unknown -0.05 0.02"
45.0,Low,Investment Growth,Middle-aged,Low,Medium,Beginner,High,84,Savvy Success,0.38,-0.12,"Low, Investment Growth, Middle-aged, Low, Medium, Beginner, High 0.38 -0.12"
31.0,Low,Unknown,Young,High,Unknown,Beginner,Medium,32,Financial Advantage,-0.12,-0.04,"Low, Unknown, Young, High, Unknown, Beginner, Medium -0.12 -0.04"
36.0,High,"Debt Freedom, Investment Growth",Middle-aged,Unknown,Medium,Intermediate,Medium,45,Capital System,-0.14,-0.15,"High, Debt Freedom, Investment Growth, Middle-aged, Unknown, Medium, Intermediate, Medium -0.14 -0.15"
50.0,Low,"Debt Freedom, Retirement",Older,Unknown,High,Beginner,High,53,Thrive Planner Total,0.11,0.14,"Low, Debt Freedom, Retirement, Older, Unknown, High, Beginner, High 0.11 0.14"
50.0,Low,"Debt Freedom, Retirement",Older,Unknown,High,Beginner,High,45,Capital System,-0.14,-0.15,"Low, Debt Freedom, Retirement, Older, Unknown, High, Beginner, High -0.14 -0.15"
28.0,High,Emergency Fund,Young,Unknown,Unknown,Unknown,Unknown,26,Journey Select,-0.17,0.22,"High, Emergency Fund, Young, Unknown, Unknown, Unknown, Unknown -0.17 0.22"
37.0,High,Investment Growth,Middle-aged,High,Low,Intermediate,High,35,Equity Advantage,-0.14,-0.01,"High, Investment Growth, Middle-aged, High, Low, Intermediate, High -0.14 -0.01"
37.0,High,Investment Growth,Middle-aged,High,Low,Intermediate,High,14,Cash Guide,-0.26,0.14,"High, Investment Growth, Middle-aged, High, Low, Intermediate, High -0.26 0.14"
,Unknown,Debt Freedom,Unknown,Unknown,Unknown,Unknown,Unknown,72,Secure Advantage,0.3,0.2,"Unknown, Debt Freedom, Unknown, Unknown, Unknown, Unknown, Unknown 0.3 0.2"
45.0,Low,"Emergency Fund, Retirement",Middle-aged,Unknown,Unknown,Unknown,Unknown,51,Money Builder Deluxe,0.07,0.07,"Low, Emergency Fund, Retirement, Middle-aged, Unknown, Unknown, Unknown, Unknown 0.07 0.07"
48.0,Low,"Retirement, Debt Freedom",Middle-aged,Medium,High,Beginner,Medium,67,Budget Success Premium,-0.09,-1.02,"Low, Retirement, Debt Freedom, Middle-aged, Medium, High, Beginner, Medium -0.09 -1.02"
48.0,Low,"Retirement, Debt Freedom",Middle-aged,Medium,High,Beginner,Medium,32,Financial Advantage,-0.12,-0.04,"Low, Retirement, Debt Freedom, Middle-aged, Medium, High, Beginner, Medium -0.12 -0.04"
47.0,Medium,"Retirement, Debt Freedom",Middle-aged,High,Medium,Beginner,High,98,Money Blueprint Unlimited,0.48,-0.03,"Medium, Retirement, Debt Freedom, Middle-aged, High, Medium, Beginner, High 0.48 -0.03"
35.0,Low,"Debt Freedom, Retirement",Middle-aged,Low,Low,Intermediate,Medium,87,Foundation,0.34,-0.18,"Low, Debt Freedom, Retirement, Middle-aged, Low, Low, Intermediate, Medium 0.34 -0.18"
54.0,Low,"Debt Freedom, Emergency Fund",Older,High,Medium,Intermediate,Low,39,Success Complete,-0.1,0.36,"Low, Debt Freedom, Emergency Fund, Older, High, Medium, Intermediate, Low -0.1 0.36"
35.0,Medium,Retirement,Middle-aged,High,Medium,Intermediate,High,45,Capital System,-0.14,-0.15,"Medium, Retirement, Middle-aged, High, Medium, Intermediate, High -0.14 -0.15"
35.0,Medium,Retirement,Middle-aged,High,Medium,Intermediate,High,71,Freedom Foundation Expert,0.34,0.08,"Medium, Retirement, Middle-aged, High, Medium, Intermediate, High 0.34 0.08"
36.0,Low,Debt Freedom,Middle-aged,Low,Low,Intermediate,Low,30,Prosper Foundation Prime,-0.4,-0.5,"Low, Debt Freedom, Middle-aged, Low, Low, Intermediate, Low -0.4 -0.5"
49.0,Medium,"Investment Growth, Emergency Fund",Older,Medium,Unknown,Beginner,Low,89,Savvy Builder Essential,0.59,0.07,"Medium, Investment Growth, Emergency Fund, Older, Medium, Unknown, Beginner, Low 0.59 0.07"
46.0,High,Investment Growth,Middle-aged,High,Unknown,Beginner,High,67,Budget Success Premium,-0.09,-1.02,"High, Investment Growth, Middle-aged, High, Unknown, Beginner, High -0.09 -1.02"
,Medium,Investment Growth,Unknown,High,Unknown,Beginner,High,16,Freedom Blueprint360,-0.37,0.17,"Medium, Investment Growth, Unknown, High, Unknown, Beginner, High -0.37 0.17"
39.0,Medium,Investment Growth,Middle-aged,Medium,High,Intermediate,Medium,57,Secure Blueprint,0.12,-0.62,"Medium, Investment Growth, Middle-aged, Medium, High, Intermediate, Medium 0.12 -0.62"
25.0,Low,Debt Freedom,Young,Medium,Low,Intermediate,High,13,Roadmap,-0.43,-0.31,"Low, Debt Freedom, Young, Medium, Low, Intermediate, High -0.43 -0.31"
